
Cross sections for nubar_mu on Argon nucleus

Neutrino Energy(GeV)	CC(10^38 cm^2 X^-1)		NC(10^38 cm^2 X^-1) 

0.125			0.0				                
0.375			2.79E-05
0.625			3.21E-05
0.875			2.98E-05
1.125			2.06E-05
1.375			2.38E-05
1.625			3.65E-05
1.875			5.95E-05
2.125			8.52E-05
2.375			0.0001063531088
2.625			0.000124781756
2.875			0.000144463708
3.125			0.00015149326
3.375			0.00015114078
3.625			0.00015320338
3.875			0.000154604076
4.125			0.000150969348
4.375			0.0001439136
4.625			0.0001316745268
4.875			0.0001226434148
5.125			0.0001144791848
5.375			0.0001069662464
5.625			0.0001013220048
5.875			9.74E-05
6.125			9.33E-05
6.375			9.11E-05
6.625			8.81E-05
6.875			8.38E-05
7.125			8.24E-05
7.375			7.84E-05
7.625			7.55E-05
7.875			7.14E-05
8.125			6.99E-05
8.375			6.45E-05
8.625			6.03E-05
8.875			5.51E-05
9.125			5.17E-05
9.375			4.70E-05
9.625			4.17E-05
9.875			3.89E-05
10.125			3.53E-05
10.375			3.15E-05
10.625			2.84E-05
10.875			2.53E-05
11.125			2.26E-05
11.375			1.94E-05
11.625			1.71E-05
11.875			1.46E-05
12.125			1.26E-05
12.375			1.03E-05
12.625			8.54E-06
12.875			7.16E-06
13.125			6.68E-06
13.375			5.38E-06
13.625			4.04E-06
13.875			3.64E-06
14.125			3.48E-06
14.375			2.69E-06
14.625			2.55E-06
14.875			2.13E-06
15.125			2.12E-06
15.375			1.75E-06
15.625			1.85E-06
15.875			1.51E-06
16.125			1.28E-06
16.375			1.39E-06
16.625			1.35E-06
16.875			1.25E-06
17.125			1.12E-06
17.375			1.26E-06
17.625			1.20E-06
17.875			1.11E-06
18.125			1.22E-06
18.375			1.19E-06
18.625			9.01E-07
18.875			1.10E-06
19.125			1.06E-06
19.375			1.08E-06
19.625			1.02E-06
19.875			9.07E-07
20.125			8.89E-07
20.375			8.69E-07
20.625			1.02E-06
20.875			7.80E-07
21.125			8.21E-07
21.375			8.17E-07
21.625			8.47E-07
21.875			8.09E-07
22.125			7.78E-07
22.375			7.66E-07
22.625			8.50E-07
22.875			7.51E-07
23.125			7.41E-07
23.375			7.54E-07
23.625			7.62E-07
23.875			7.43E-07
24.125			6.89E-07
24.375			7.04E-07
24.625			6.22E-07
24.875			6.28E-07
25.125			6.28E-07
25.375			5.91E-07
25.625			6.16E-07
25.875			5.73E-07
26.125			5.46E-07
26.375			5.54E-07
26.625			6.46E-07
26.875			5.51E-07
27.125			6.37E-07
27.375			4.95E-07
27.625			5.32E-07
27.875			5.05E-07
28.125			4.72E-07
28.375			4.53E-07
28.625			4.48E-07
28.875			5.60E-07
29.125			5.31E-07
29.375			4.24E-07
29.625			4.48E-07
29.875			3.70E-07
30.125			3.90E-07

