Process is Muon Signal   - Flux is electron neutrinos per proton per square cm 
3.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   1.199353e-17   8.480709e-18
1.500000e-01   2.398707e-17   1.199353e-17
2.100000e-01   6.596443e-17   1.988903e-17
2.700000e-01   7.196120e-17   2.077341e-17
3.300000e-01   1.139386e-16   2.613930e-17
3.900000e-01   9.594827e-17   2.398707e-17
4.500000e-01   2.038901e-16   3.496686e-17
5.100000e-01   2.218804e-16   3.647691e-17
5.700000e-01   2.638577e-16   3.977805e-17
6.300000e-01   2.638577e-16   3.977805e-17
6.900000e-01   3.478125e-16   4.567001e-17
7.500000e-01   3.897898e-16   4.834748e-17
8.100000e-01   4.257704e-16   5.052965e-17
8.700000e-01   4.017834e-16   4.908565e-17
9.300000e-01   4.797413e-16   5.363671e-17
9.900000e-01   4.737446e-16   5.330043e-17
1.050000e+00   6.056734e-16   6.026676e-17
1.110000e+00   5.517025e-16   5.751897e-17
1.170000e+00   6.176670e-16   6.086053e-17
1.230000e+00   5.876831e-16   5.936496e-17
1.290000e+00   6.056734e-16   6.026676e-17
1.350000e+00   5.337122e-16   5.657338e-17
1.410000e+00   6.716379e-16   6.346381e-17
1.470000e+00   7.855764e-16   6.863613e-17
1.530000e+00   6.896282e-16   6.430816e-17
1.590000e+00   6.476508e-16   6.232023e-17
1.650000e+00   5.816864e-16   5.906130e-17
1.710000e+00   6.236637e-16   6.115526e-17
1.770000e+00   7.615894e-16   6.758013e-17
1.830000e+00   7.256088e-16   6.596443e-17
1.890000e+00   6.236637e-16   6.115526e-17
1.950000e+00   6.896282e-16   6.430816e-17
2.010000e+00   5.457058e-16   5.720551e-17
2.070000e+00   5.816864e-16   5.906130e-17
2.130000e+00   5.277155e-16   5.625466e-17
2.190000e+00   5.636961e-16   5.814081e-17
2.250000e+00   5.636961e-16   5.814081e-17
2.310000e+00   5.876831e-16   5.936496e-17
2.370000e+00   5.217187e-16   5.593412e-17
2.430000e+00   3.957866e-16   4.871796e-17
2.490000e+00   5.157219e-16   5.561173e-17
2.550000e+00   3.837931e-16   4.797413e-17
2.610000e+00   4.017834e-16   4.908565e-17
2.670000e+00   3.957866e-16   4.871796e-17
2.730000e+00   3.118319e-16   4.324330e-17
2.790000e+00   3.058351e-16   4.282548e-17
2.850000e+00   3.478125e-16   4.567001e-17
2.910000e+00   2.758513e-16   4.067205e-17
2.970000e+00   1.918965e-16   3.392284e-17
3.030000e+00   1.918965e-16   3.392284e-17
3.090000e+00   2.338739e-16   3.744980e-17
3.150000e+00   1.619127e-16   3.116011e-17
3.210000e+00   1.499192e-16   2.998383e-17
3.270000e+00   1.679095e-16   3.173191e-17
3.330000e+00   1.079418e-16   2.544213e-17
3.390000e+00   1.139386e-16   2.613930e-17
3.450000e+00   8.395473e-17   2.243785e-17
3.510000e+00   1.199353e-16   2.681836e-17
3.570000e+00   4.797413e-17   1.696142e-17
3.630000e+00   4.197737e-17   1.586595e-17
3.690000e+00   2.998383e-17   1.340918e-17
3.750000e+00   3.598060e-17   1.468902e-17
3.810000e+00   2.998383e-17   1.340918e-17
3.870000e+00   3.598060e-17   1.468902e-17
3.930000e+00   1.199353e-17   8.480709e-18
3.990000e+00   1.799030e-17   1.038670e-17
4.050000e+00   0.000000e+00   0.000000e+00
4.110000e+00   5.996767e-18   5.996767e-18
4.170000e+00   0.000000e+00   0.000000e+00
4.230000e+00   0.000000e+00   0.000000e+00
4.290000e+00   0.000000e+00   0.000000e+00
4.350000e+00   0.000000e+00   0.000000e+00
4.410000e+00   0.000000e+00   0.000000e+00
4.470000e+00   0.000000e+00   0.000000e+00
4.530000e+00   0.000000e+00   0.000000e+00
4.590000e+00   0.000000e+00   0.000000e+00
4.650000e+00   0.000000e+00   0.000000e+00
4.710000e+00   0.000000e+00   0.000000e+00
4.770000e+00   0.000000e+00   0.000000e+00
4.830000e+00   0.000000e+00   0.000000e+00
4.890000e+00   0.000000e+00   0.000000e+00
4.950000e+00   0.000000e+00   0.000000e+00
5.010000e+00   0.000000e+00   0.000000e+00
5.070000e+00   0.000000e+00   0.000000e+00
5.130000e+00   0.000000e+00   0.000000e+00
5.190000e+00   0.000000e+00   0.000000e+00
5.250000e+00   0.000000e+00   0.000000e+00
5.310000e+00   0.000000e+00   0.000000e+00
5.370000e+00   0.000000e+00   0.000000e+00
5.430000e+00   0.000000e+00   0.000000e+00
5.490000e+00   0.000000e+00   0.000000e+00
5.550000e+00   0.000000e+00   0.000000e+00
5.610000e+00   0.000000e+00   0.000000e+00
5.670000e+00   0.000000e+00   0.000000e+00
5.730000e+00   0.000000e+00   0.000000e+00
5.790000e+00   0.000000e+00   0.000000e+00
5.850000e+00   0.000000e+00   0.000000e+00
5.910000e+00   0.000000e+00   0.000000e+00
5.970000e+00   0.000000e+00   0.000000e+00
