Process is Muon Signal   - Flux is muon neutrinos per proton per square cm 
3.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   0.000000e+00   0.000000e+00
1.500000e-01   5.939329e-18   5.939329e-18
2.100000e-01   2.969665e-17   1.328074e-17
2.700000e-01   3.563598e-17   1.454833e-17
3.300000e-01   7.127195e-17   2.057444e-17
3.900000e-01   5.939329e-17   1.878181e-17
4.500000e-01   5.345396e-17   1.781799e-17
5.100000e-01   7.721128e-17   2.141456e-17
5.700000e-01   1.247259e-16   2.721743e-17
6.300000e-01   1.663012e-16   3.142798e-17
6.900000e-01   1.781799e-16   3.253105e-17
7.500000e-01   2.197552e-16   3.612753e-17
8.100000e-01   2.672698e-16   3.984223e-17
8.700000e-01   3.385418e-16   4.484095e-17
9.300000e-01   3.029058e-16   4.241530e-17
9.900000e-01   3.266631e-16   4.404725e-17
1.050000e+00   4.395104e-16   5.109204e-17
1.110000e+00   4.513890e-16   5.177787e-17
1.170000e+00   4.038744e-16   4.897696e-17
1.230000e+00   4.454497e-16   5.143610e-17
1.290000e+00   4.989037e-16   5.443485e-17
1.350000e+00   4.810857e-16   5.345396e-17
1.410000e+00   4.989037e-16   5.443485e-17
1.470000e+00   4.751463e-16   5.312298e-17
1.530000e+00   5.048430e-16   5.475791e-17
1.590000e+00   5.701756e-16   5.819331e-17
1.650000e+00   5.167217e-16   5.539838e-17
1.710000e+00   5.048430e-16   5.475791e-17
1.770000e+00   5.464183e-16   5.696805e-17
1.830000e+00   6.058116e-16   5.998429e-17
1.890000e+00   5.404790e-16   5.665759e-17
1.950000e+00   4.929643e-16   5.410987e-17
2.010000e+00   5.998723e-16   5.968952e-17
2.070000e+00   5.226610e-16   5.571585e-17
2.130000e+00   5.286003e-16   5.603152e-17
2.190000e+00   5.464183e-16   5.696805e-17
2.250000e+00   5.761149e-16   5.849561e-17
2.310000e+00   5.345396e-16   5.634543e-17
2.370000e+00   6.295689e-16   6.114914e-17
2.430000e+00   5.939329e-16   5.939329e-17
2.490000e+00   5.582970e-16   5.758393e-17
2.550000e+00   5.939329e-16   5.939329e-17
2.610000e+00   5.107823e-16   5.507907e-17
2.670000e+00   5.464183e-16   5.696805e-17
2.730000e+00   4.810857e-16   5.345396e-17
2.790000e+00   4.989037e-16   5.443485e-17
2.850000e+00   3.919957e-16   4.825134e-17
2.910000e+00   4.454497e-16   5.143610e-17
2.970000e+00   3.385418e-16   4.484095e-17
3.030000e+00   2.910271e-16   4.157531e-17
3.090000e+00   4.335710e-16   5.074565e-17
3.150000e+00   3.147845e-16   4.323897e-17
3.210000e+00   3.326024e-16   4.444587e-17
3.270000e+00   3.266631e-16   4.404725e-17
3.330000e+00   2.732092e-16   4.028249e-17
3.390000e+00   2.613305e-16   3.939705e-17
3.450000e+00   2.138159e-16   3.563598e-17
3.510000e+00   1.959979e-16   3.411885e-17
3.570000e+00   1.425439e-16   2.909665e-17
3.630000e+00   1.484832e-16   2.969665e-17
3.690000e+00   1.425439e-16   2.909665e-17
3.750000e+00   1.128473e-16   2.588894e-17
3.810000e+00   1.128473e-16   2.588894e-17
3.870000e+00   7.127195e-17   2.057444e-17
3.930000e+00   5.939329e-17   1.878181e-17
3.990000e+00   4.157531e-17   1.571399e-17
4.050000e+00   4.751463e-17   1.679896e-17
4.110000e+00   4.751463e-17   1.679896e-17
4.170000e+00   1.187866e-17   8.399480e-18
4.230000e+00   1.187866e-17   8.399480e-18
4.290000e+00   0.000000e+00   0.000000e+00
4.350000e+00   0.000000e+00   0.000000e+00
4.410000e+00   0.000000e+00   0.000000e+00
4.470000e+00   0.000000e+00   0.000000e+00
4.530000e+00   0.000000e+00   0.000000e+00
4.590000e+00   0.000000e+00   0.000000e+00
4.650000e+00   0.000000e+00   0.000000e+00
4.710000e+00   0.000000e+00   0.000000e+00
4.770000e+00   0.000000e+00   0.000000e+00
4.830000e+00   0.000000e+00   0.000000e+00
4.890000e+00   0.000000e+00   0.000000e+00
4.950000e+00   0.000000e+00   0.000000e+00
5.010000e+00   0.000000e+00   0.000000e+00
5.070000e+00   0.000000e+00   0.000000e+00
5.130000e+00   0.000000e+00   0.000000e+00
5.190000e+00   0.000000e+00   0.000000e+00
5.250000e+00   0.000000e+00   0.000000e+00
5.310000e+00   0.000000e+00   0.000000e+00
5.370000e+00   0.000000e+00   0.000000e+00
5.430000e+00   0.000000e+00   0.000000e+00
5.490000e+00   0.000000e+00   0.000000e+00
5.550000e+00   0.000000e+00   0.000000e+00
5.610000e+00   0.000000e+00   0.000000e+00
5.670000e+00   0.000000e+00   0.000000e+00
5.730000e+00   0.000000e+00   0.000000e+00
5.790000e+00   0.000000e+00   0.000000e+00
5.850000e+00   0.000000e+00   0.000000e+00
5.910000e+00   0.000000e+00   0.000000e+00
5.970000e+00   0.000000e+00   0.000000e+00
