Process is Muon Signal   - Flux is electron neutrinos per proton per square cm 
1.000000e-02   0.000000e+00   0.000000e+00
3.000000e-02   0.000000e+00   0.000000e+00
5.000000e-02   0.000000e+00   0.000000e+00
7.000000e-02   0.000000e+00   0.000000e+00
9.000000e-02   0.000000e+00   0.000000e+00
1.100000e-01   5.746368e-20   5.746368e-20
1.300000e-01   0.000000e+00   0.000000e+00
1.500000e-01   0.000000e+00   0.000000e+00
1.700000e-01   0.000000e+00   0.000000e+00
1.900000e-01   0.000000e+00   0.000000e+00
2.100000e-01   0.000000e+00   0.000000e+00
2.300000e-01   0.000000e+00   0.000000e+00
2.500000e-01   5.746368e-20   5.746368e-20
2.700000e-01   1.149274e-19   8.126592e-20
2.900000e-01   5.746368e-20   5.746368e-20
3.100000e-01   0.000000e+00   0.000000e+00
3.300000e-01   1.149274e-19   8.126592e-20
3.500000e-01   0.000000e+00   0.000000e+00
3.700000e-01   5.746368e-20   5.746368e-20
3.900000e-01   0.000000e+00   0.000000e+00
4.100000e-01   5.746368e-20   5.746368e-20
4.300000e-01   0.000000e+00   0.000000e+00
4.500000e-01   5.746368e-20   5.746368e-20
4.700000e-01   0.000000e+00   0.000000e+00
4.900000e-01   0.000000e+00   0.000000e+00
5.100000e-01   0.000000e+00   0.000000e+00
5.300000e-01   0.000000e+00   0.000000e+00
5.500000e-01   0.000000e+00   0.000000e+00
5.700000e-01   5.746368e-20   5.746368e-20
5.900000e-01   0.000000e+00   0.000000e+00
6.100000e-01   0.000000e+00   0.000000e+00
6.300000e-01   0.000000e+00   0.000000e+00
6.500000e-01   0.000000e+00   0.000000e+00
6.700000e-01   0.000000e+00   0.000000e+00
6.900000e-01   1.149274e-19   8.126592e-20
7.100000e-01   5.746368e-20   5.746368e-20
7.300000e-01   5.746368e-20   5.746368e-20
7.500000e-01   0.000000e+00   0.000000e+00
7.700000e-01   1.723910e-19   9.953001e-20
7.900000e-01   0.000000e+00   0.000000e+00
8.100000e-01   5.746368e-20   5.746368e-20
8.300000e-01   5.746368e-20   5.746368e-20
8.500000e-01   5.746368e-20   5.746368e-20
8.700000e-01   1.149274e-19   8.126592e-20
8.900000e-01   5.746368e-20   5.746368e-20
9.100000e-01   1.723910e-19   9.953001e-20
9.300000e-01   0.000000e+00   0.000000e+00
9.500000e-01   2.298547e-19   1.149274e-19
9.700000e-01   5.746368e-20   5.746368e-20
9.900000e-01   5.746368e-20   5.746368e-20
1.010000e+00   5.746368e-20   5.746368e-20
1.030000e+00   1.723910e-19   9.953001e-20
1.050000e+00   2.873184e-19   1.284927e-19
1.070000e+00   0.000000e+00   0.000000e+00
1.090000e+00   1.723910e-19   9.953001e-20
1.110000e+00   1.149274e-19   8.126592e-20
1.130000e+00   2.298547e-19   1.149274e-19
1.150000e+00   1.149274e-19   8.126592e-20
1.170000e+00   1.149274e-19   8.126592e-20
1.190000e+00   1.149274e-19   8.126592e-20
1.210000e+00   1.723910e-19   9.953001e-20
1.230000e+00   1.723910e-19   9.953001e-20
1.250000e+00   2.298547e-19   1.149274e-19
1.270000e+00   2.298547e-19   1.149274e-19
1.290000e+00   1.149274e-19   8.126592e-20
1.310000e+00   1.149274e-19   8.126592e-20
1.330000e+00   1.723910e-19   9.953001e-20
1.350000e+00   5.746368e-20   5.746368e-20
1.370000e+00   2.873184e-19   1.284927e-19
1.390000e+00   1.723910e-19   9.953001e-20
1.410000e+00   2.873184e-19   1.284927e-19
1.430000e+00   1.723910e-19   9.953001e-20
1.450000e+00   2.298547e-19   1.149274e-19
1.470000e+00   0.000000e+00   0.000000e+00
1.490000e+00   5.746368e-20   5.746368e-20
1.510000e+00   1.723910e-19   9.953001e-20
1.530000e+00   2.298547e-19   1.149274e-19
1.550000e+00   3.447821e-19   1.407567e-19
1.570000e+00   5.746368e-20   5.746368e-20
1.590000e+00   1.723910e-19   9.953001e-20
1.610000e+00   5.746368e-20   5.746368e-20
1.630000e+00   5.746368e-20   5.746368e-20
1.650000e+00   4.022458e-19   1.520346e-19
1.670000e+00   3.447821e-19   1.407567e-19
1.690000e+00   5.746368e-20   5.746368e-20
1.710000e+00   5.746368e-20   5.746368e-20
1.730000e+00   1.149274e-19   8.126592e-20
1.750000e+00   1.723910e-19   9.953001e-20
1.770000e+00   2.873184e-19   1.284927e-19
1.790000e+00   4.597094e-19   1.625318e-19
1.810000e+00   2.873184e-19   1.284927e-19
1.830000e+00   1.723910e-19   9.953001e-20
1.850000e+00   1.149274e-19   8.126592e-20
1.870000e+00   5.171731e-19   1.723910e-19
1.890000e+00   1.149274e-19   8.126592e-20
1.910000e+00   1.149274e-19   8.126592e-20
1.930000e+00   2.873184e-19   1.284927e-19
1.950000e+00   2.298547e-19   1.149274e-19
1.970000e+00   5.171731e-19   1.723910e-19
1.990000e+00   4.022458e-19   1.520346e-19
